MAPPER,count,percentage
GÉNERO_CINEMATOGRÁFICO,2,0.005877512636652169
METRÓPOLE,2,0.005877512636652169
MOEDA_OBSOLETA,2,0.005877512636652169
FRUTA,2,0.005877512636652169
RUM,2,0.005877512636652169
EMPÓRIO,2,0.005877512636652169
PROCESSO_BIOLÓGICO,2,0.005877512636652169
MONUMENTO,2,0.005877512636652169
GIRL_GROUP,2,0.005877512636652169
FERIADO_BANCÁRIO,2,0.005877512636652169
POEMA,2,0.005877512636652169
VIA_DE_COMUNICAÇÃO,2,0.005877512636652169
MARCA_DE_CIGARROS,2,0.005877512636652169
CLASSE_DE_ORGANISMOS_CONHECIDO_POR_UM_NOME_COMUM_EM_PARTICULAR,2,0.005877512636652169
RIBEIRO,2,0.005877512636652169
EPISÓDIO_DE_SÉRIE_DE_TELEVISÃO,2,0.005877512636652169
PREPOSIÇÃO,2,0.005877512636652169
LETRA,2,0.005877512636652169
MODELO_DE_AUTOMÓVEL,2,0.005877512636652169
UNIDADE_DE_ÁREA,2,0.005877512636652169
ESTADOS_FÍSICOS_DA_MATÉRIA,2,0.005877512636652169
JOGO_DE_HABILIDADE,2,0.005877512636652169
NOTAÇÃO_MUSICAL,2,0.005877512636652169
REDE_DE_COMPUTADORES,2,0.005877512636652169
MUNICÍPIO_URBANO_NA_ALEMANHA,2,0.005877512636652169
COMUNAS_DO_MALI,2,0.005877512636652169
TERMO,2,0.005877512636652169
RAMO_DA_ECONOMIA,2,0.005877512636652169
DESA,2,0.005877512636652169
SATÉLITE_DE_URANO,2,0.005877512636652169
PERSONAGEM_DE_QUADRINHOS,2,0.005877512636652169
CONSTELAÇÃO,2,0.005877512636652169
FILME_DE_ANIME,2,0.005877512636652169
COMUNAS_DO_NÍGER,2,0.005877512636652169
NAVIO,2,0.005877512636652169
SERVIÇO_DE_COMBOIO_DE_PASSAGEIROS,2,0.005877512636652169
CONCEITO_FILOSÓFICO,2,0.005877512636652169
ENSINO_FUNDAMENTAL_II,2,0.005877512636652169
EMPRESA_DE_AUTOCARROS,2,0.005877512636652169
EMPREGO,2,0.005877512636652169
CAPITAL_NACIONAL,2,0.005877512636652169
ESTAÇÃO_DE_METROPOLITANO,2,0.005877512636652169
OBJETO_GEOGRÁFICO,2,0.005877512636652169
MARCA,2,0.005877512636652169
ROMANCE_GRÁFICO,2,0.005877512636652169
PATRIMÓNIO_HISTÓRICO,2,0.005877512636652169
REGIÃO_CENSITÁRIA,2,0.005877512636652169
CÍRCULO_ELEITORAL,2,0.005877512636652169
GÉNERO_LITERÁRIO,2,0.005877512636652169
